# YEA	MON	DAY	NAME

 1877	12	24	Mayrargue Lucien
 1878	1	14	Segalen Victor
 1878	1	18	Frene Roger
 1878	2	4	Adami Giuseppe
 1878	3	20	Allorge Henri
 1878	4	18	Foresi Sandro
 1878	5	12	Bontempelli Massimo
 1878	5	14	Knuttel Johannes
 1878	6	19	Jaloux Edmond
 1878	7	5	Bosschere Jean
 1878	7	22	Jaarsma Doede
 1878	8	10	Cinti Decio
 1878	8	30	Hazard Paul
 1878	11	25	Collin J
 1879	1	19	Koenen Marie
 1879	1	24	Angenot Marcel
 1879	2	1	Zorzi Guglielmo
 1879	2	7	Perier Gaston
 1879	2	10	Heux Gaston
 1879	2	24	Teirlinck Hermann
 1879	2	26	Fauconnier Henri
 1879	3	22	Deubel Leon
 1879	4	7	Soffici Ardengo
 1879	5	11	Pecchio Giuseppe
 1879	5	20	Ravet Leon
 1879	5	23	Proumen Henri
 1879	6	2	Herckenrath Adolphe
 1879	6	19	Dumesnil Rene
 1879	7	17	Eon Francis
 1879	8	23	Davignon Henri
 1879	9	5	Eeckels Constant
 1879	10	4	Le Franc Marie
 1879	10	28	Hulst Willem
 1879	10	31	Rebecchi Umberto
 1879	11	14	Monfreid Henri
 1879	11	20	Mary Andre
 1879	11	26	Lebesgue Phileas
 1879	12	9	Maynial Edouard
 1879	12	24	Cohen Gustave
 1880	3	3	Veth Cornelis
 1880	4	19	Sudre Rene
 1880	6	6	Orliac Antoine
 1880	6	17	Behaine Rene
 1880	7	2	Berrini Nino
 1880	7	19	Horrent Desire
 1880	8	15	Clermont Emile
 1880	8	26	Apollinaire Guillaume
 1880	9	10	Beauduin Nicolas
 1880	9	10	Meer Walcheren Pieter
 1880	9	17	Cannegieter Hendrik
 1880	10	12	Hemon Louis
 1881	1	13	Jacques-Noir Armand
 1881	1	14	Stienems-Hopman Maria
 1881	2	16	Uyldert Mauritz
 1881	3	11	Gillouin Rene
 1881	3	23	Martin Gard Roger
 1881	4	24	Constantin-Weyer Maurice
 1881	5	1	Teilhard De Chardin Pierre
 1881	6	27	Carcopino Jerome
 1881	7	6	Alibert Louis
 1881	7	10	Zoetmulder Adriaan
 1881	7	11	Motta Luigi
 1881	8	29	Labraud Valery
 1881	8	31	Duwez Maurice
 1881	9	7	Focillon Henri
 1881	9	8	Hellens Franz
 1881	10	11	Thibaut Armand
 1881	11	23	Harcourt Robert
 1881	12	4	Bernard Jean
 1882	1	22	Pergaud Louis
 1882	1	27	Prezzolini Giuseppe
 1882	3	22	Wermeskerken Johann
 1882	4	25	Martineau Henri
 1882	4	29	Schaaf Tryntje
 1882	5	3	Lenormand Henri
 1882	5	7	Ridder Alfons
 1882	5	27	Visser Edmond
 1882	6	12	Cittadini Armando
 1882	6	14	Veneziani Carlo
 1882	7	8	La Senne Rene
 1882	7	13	Rutten Felix
 1882	7	17	Herissay Jacques
 1882	8	4	Derennes Charles
 1882	8	10	Varagnolo Domenico
 1882	8	16	Ritter Pierre
 1882	8	31	Fauchois Rene
 1882	9	11	Salvarese Nino
 1882	9	29	Lucas Wilfrid
 1882	10	18	Pertinax (Geraud)
 1882	10	26	Dubech Lucien
 1882	10	27	Du Bos Charles
 1882	10	29	Giraudoux Jean
 1882	10	31	Prist Pierre
 1882	11	18	Maritain Jacques
 1882	11	22	Vildrac Charles
 1882	12	13	Billy Andre
 1883	1	6	Schiliro' Vincenzo
 1883	1	29	Mere Charles
 1883	2	16	Noel Marie
 1883	2	21	Delacre Jules
 1883	3	19	Hiuzenga-Onnekes Eilina
 1883	4	6	Labberton Wilhelmina
 1883	4	7	Ruggi Lorenzo
 1883	4	11	Marbo Camille
 1883	4	15	Colleye Hubert
 1883	4	17	Levaillant Maurice
 1883	5	19	Keuls H
 1883	7	10	Sobrero Mario
 1883	7	15	Lavelle Louis
 1883	7	20	Sauvage Cecile
 1883	7	21	De Maria Federico
 1883	7	25	Massignon Louis
 1883	8	7	Rooy Hendrick
 1883	8	9	Lavaud Guy
 1883	8	23	Zuccarini Oliviero
 1883	9	10	Vaudoyer Jean
 1883	9	23	Lucas-Dubreton Jean
 1883	10	9	Palgen Paul
 1883	11	19	Forzano Giovacchino
 1883	11	30	Verhoeven-Schmitz Marie
 1883	12	17	D'Aloisio Nicola
 1883	12	18	Aegerter Emmanuel
 1883	12	19	Bonnard Abel
 1883	12	30	Bedel Maurice
 1883	12	30	Gevers Marie
 1883	12	31	Davy Georges
 1884	1	1	Burrascano Nino
 1884	1	2	Chardonne Jacques
 1884	1	3	Cozzani Ettore
 1884	1	13	Jalabert Pierre
 1884	2	14	Spellanzon Cesare
 1884	2	23	Schwab Raymond
 1884	2	27	Arnoux Alexandre
 1884	3	17	Johannet Rene
 1884	5	5	Bonetti Pascal
 1884	6	13	Gilson Etienne
 1884	6	21	Palazzi Fernando
 1884	6	27	Bachelard Gaston
 1884	6	30	Duhamel Georges
 1884	7	4	Cecchi Emilio
 1884	7	5	Barbantini Nino
 1884	7	17	Rizzardi Luca
 1884	7	31	Gilles Maurice
 1884	8	1	Levis-Mirepoix Antoine
 1884	8	20	Acquaviva Cosimo
 1884	10	5	Amiel Denys
 1884	10	29	Govoni Corrado
 1884	11	11	Ubink J
 1884	11	22	Donati Umberto
 1884	12	2	Paulhan Jean
 1885	1	2	Saponaro Michele
 1885	1	19	Broodcorens Pierre
 1885	1	22	Praetere Mauritz
 1885	2	18	Penning Joannis
 1885	3	6	Geraldy Paul
 1885	3	15	Cavacchioli Enrico
 1885	4	21	Rossem Cornelis
 1885	4	21	Waals Laurens
 1885	4	22	Borgerhoff Robert
 1885	4	24	Pellerin Jean
 1885	5	17	Tumerelle Maurice
 1885	5	26	Dekobra Maurice
 1885	6	15	Dorgeles Roland
 1885	7	15	Perri Francesco
 1885	7	26	Maurois Andre
 1885	8	26	Romains Jules
 1885	9	1	Cartella Giuseppe
 1885	9	11	Devigne Roger
 1885	9	21	Beraud Henri
 1885	9	24	T'Serstevens Albert
 1885	10	7	Clouard Henri
 1885	10	11	Mauriac Francois
 1885	10	12	Garnier Auguste
 1885	10	17	Zerbinati Umberto
 1885	10	24	Claes Ernest
 1885	12	7	Brunelli Bruno
 1885	12	9	Jolinon Joseph
 1886	1	2	Cohen Joseph
 1886	1	15	Chiapparini Giovanni
 1886	1	20	Orsini Giovanni
 1886	1	23	Wasch Karel
 1886	2	7	Pierard Louis
 1886	2	8	Prepositi Clemente
 1886	2	22	Henry-Jacques
 1886	2	28	Boin Victor
 1886	4	14	Savarino Santi
 1886	5	21	Drouot Paul
 1886	6	15	Smith Tomaso
 1886	7	5	Timmermans Felix
 1886	7	15	Riviere Jacques
 1886	7	16	Benoit Pierre
 1886	9	16	Arp Jean
 1886	10	3	Alain-Fournier Henri
 1886	10	16	Dumarteau Jacques
 1886	11	5	Pons Joseph
 1886	11	9	Martin Hans
 1886	11	15	Guenon Rene
 1886	11	16	Viola Cesare
 1886	11	19	Crommelynck Fernand
 1886	12	1	Kemp Pierre
 1886	12	3	Salvaneschi Nino
 1886	12	20	Le Boulenge Leon
 1886	12	21	Verane Leon
 1887	1	25	Valeri Diego
 1887	5	1	Zucca Giuseppe
 1887	5	7	Pourrat Henri
 1887	5	10	Bloem Jakobus
 1887	5	12	Correa D'Oliveira Emmanuele
 1887	5	18	Gotta Salvatore
 1887	5	24	La Varende Jean
 1887	7	8	Ray Jean
 1887	7	16	Koning Johan
 1887	7	17	Pastorino Carlo
 1887	7	29	Puccini Mario
 1887	8	3	Mora Andre
 1887	8	22	Martinet Marcel
 1887	9	15	Meterie Alphonse
 1887	10	1	Eyck Pieter
 1887	10	11	Jouve Paul
 1887	10	26	Bourdet Edouard
 1887	11	15	Lyr Rene
 1887	11	30	Rosso S Secondo Piermaria
 1887	12	6	Larguier Leo
 1887	12	25	Payer Andre
 1887	12	28	Have Amelie
 1888	2	20	Bernanos Georges
 1888	3	13	Morand Paul
 1888	3	25	Sillani Tomaso
 1888	3	30	D'Orsi Libero
 1888	5	23	Roland-Holst Adrianus
