# 2154 French Physicians, Military Men and Executives. Serie E, volume 1 : from 1901 to 1963 
# http://cura.free.fr/gauq/902gdE1.html
# 沒有地點的經緯度！
# NUM	  PRO      NAME              	             DAY   MON   YEA     H        CITY                     COD

0259    MI       BRINDEAU Paul                   24    04    1918    08:00    Villefranche/Saône        69
0260    PH     + BRION Abel                      26    06    1906    11:30    Bazsilles                 08
0261    MI       BRIQUET Pierre                  28    12    1917    03:00    Excideuil                 24
0262    MI       BROCARD Jean                    04    10    1920    01:00    Gray                      70
0263    EX       BROCHAND Bernard                05    06    1938    10:30    Nice                      06
0264    PH       BROCHIER André                  22    10    1899    08:00    Le Péage de Roussillon    38
0265    MI       BROHON Raymond                  07    09    1911    10:00    Blendecques               62
0266    MI       BROISSIA François de            29    11    1917    20:30    Arc lès Gray              70
0267    EX       BROTTE Charles                  22    08    1901    10:00    Montélimar                26
0268    MI       BROUSSAUD André                 05    06    1869    08:00    La Souterraine            23
0269    EX       BRUN François Julien            18    06    1909    07:00    St Etienne                42
0270    MI     * BRUN Jean                       24    04    1849    12:00    Marmande                  47
0271    PH     - BRUN Maurice                    20    07    1907    02:20    Cessieu                   38
0272    MI       BRUN Robert                     01    01    1922    07:30    Bordeaux                  33
0273    PH       BRUNAUD Marcel                  23    11    1916    02:00    Champigny le Sec          86
0274    MI       BRUNET Maurice                  23    09    1912    22:00    Brest                     29
0275    PH       BRUNET René                     24    09    1900    19:45    Lucon                     85
0276    PH       BRYGOO Pierre                   28    06    1922    06:30    Tourcoing                 59
0277    MI       BRYGOO Robert                   08    01    1896    16:00    Lille                     59
0278    PH       BUCAILLE Maurice                19    07    1920    15:30    Pont-L'Evêque             14
0279    MI       BUCHALET Albert                 02    10    1911    15:00    Marseille                 13
0280    PH       BUCK Paul                       24    05    1915    11:00    Ittenheim                 67
0281    PH       BUCQUOY Maurice                 10    09    1900    23:30    Dieppe                    76
0282    MI       BUFFENOIR Maurice               20    02    1917    10:30    Château-Thierry           02
0283    PH     - BUGARD Pierre                   16    02    1909    14:30    Rochefort sur Mer         17
0284    PH     + BUGNARD Louis                   07    07    1901    11:00    Foix                      09
0286    EX       BUISSON Martial                 15    02    1890    14:00    Limoges                   87
0287    MI       BULIN René                      08    08    1920    22:30    Langres                   52
0288    PH       BUREAU Robert                   09    04    1898    15:45    Nantes                    44
0289    PH       BURG Constant                   28    06    1924    00:45    Aumetz                    57
0290    PH       BURGEAT Pierre                  14    12    1896    00:15    St Dizier                 52
0291    PH       BUSER Pierre                    19    08    1921    11:00    Strasbourg                67
0292    PH       BUSNEL René Guy                 30    11    1914    20:00    Nevers                    58
