# YEA	MON	DAY	NAME

 1845	10	20	Lamart Felix
 1845	11	21	Sauvan Gabriel
 1845	11	24	Duez Francois
 1845	12	4	Bonnange Jules
 1845	12	11	Alba Alfred
 1845	12	15	Diepedaal Ismael
 1845	12	20	Triebert Raoul
 1845	12	29	Francois Louis
 1846	1	16	Crousez Alphonse
 1846	1	22	Lavignac Alexandre
 1846	1	29	Chiron Xavier
 1846	2	1	Germain Andre
 1846	2	5	Fages Jean
 1846	2	21	Levy Samuel
 1846	3	1	Funffrock Gabriel
 1846	3	15	Suiste Athanase
 1846	3	26	Krantz Louis
 1846	4	2	Perilhou Albert
 1846	4	3	Pister Louis
 1846	5	19	Charpentier Paul
 1846	5	26	Coquard Arthur
 1846	5	26	Rambourg Louis
 1846	5	30	Percepied Williams
 1846	7	3	Piltant Anatole
 1846	7	10	Leveque Marie
 1846	8	15	Daix Napoleon
 1846	8	17	Degreige Alphonse
 1846	8	21	Lautier Jacques
 1846	8	24	Martin Louis
 1846	8	27	Vannereau Gustave
 1846	8	28	Hommee Jules
 1846	9	3	Lack Marie
 1846	9	10	Lucas Gustave
 1846	9	16	Niverd Louis
 1846	10	12	Schubert Georges
 1846	12	10	Muller Emile
 1846	12	12	Hardy Eugene
 1846	12	29	Sadran Henri
 1847	1	8	Pfotzer Louis
 1847	1	16	Lalande Desire
 1847	2	7	Guillot Marie
 1847	4	5	Desjardins Leon
 1847	4	25	Eybert Philippe
 1847	4	30	Lejeune Maximin
 1847	5	20	Aubert Maximin
 1847	5	29	Welsch Louis
 1847	6	10	Arnoud Jules
 1847	6	13	Chavanne Jean
 1847	6	24	Salvayre Gervais
 1847	6	26	Rousselot Louis
 1847	7	7	Dervaux Francois
 1847	7	17	Houziaux Hippolyte
 1847	7	25	Baton Aime
 1847	8	5	Bazile Louis
 1847	8	10	Quieney Jean
 1847	8	15	Jouvenot Paul
 1847	8	26	Pericat Leonard
 1847	9	3	Lebrun Charles
 1847	9	8	Palluel Pierre
 1847	9	9	Fritsch Auguste
 1847	9	11	Regheer Charles
 1847	9	19	Pelotier Janvier
 1847	9	21	Meyer Jacques
 1847	10	11	Wetzel Andre
 1847	10	13	Doussaint Louis
 1847	10	15	Loriferne Frederic
 1847	11	20	Krebs Pierre
 1847	12	5	Bourquin Victor
 1847	12	24	Garnier Georges
 1847	12	29	Dury Ernest
 1847	12	30	Hess Guillaume
 1848	1	21	Duparc Henri
 1848	2	14	Brenne Felix
 1848	2	20	Prevet Albert
 1848	3	4	Malezieux Joachim
 1848	3	8	Gesta Nicolas
 1848	3	19	Bousquet Paulin
 1848	4	12	Muller Joseph
 1848	4	27	Ach Edouard
 1848	5	11	Blachier Joseph
 1848	5	13	Sol Henri
 1848	6	3	Rousseau Charles
 1848	6	5	Pitont Joseph
 1848	6	9	Delaby Victor
 1848	6	17	Capel Achille
 1848	7	18	Dutacq Amedee
 1848	7	27	Gassian Pierre
 1848	7	30	Lamberti Emile
 1848	8	6	Berthemet Eugene
 1848	8	8	Courtade Louis
 1848	9	12	Haderne Isidore
 1848	9	27	Malandran Julien
 1848	10	8	Meister Benoit
 1848	10	19	Franquin Merri
 1848	11	28	Schwartz Adolphe
 1849	1	1	Carboni Blaise
 1849	1	12	Picard Judas
 1849	2	10	Debruille Emile
 1849	3	25	Cote Jean
 1849	5	5	Deslandres Georges
 1849	5	10	Jouve Joseph
 1849	5	28	Colin Leopold
 1849	6	10	Stoltz Louis
 1849	7	6	Rolland Fernand
 1849	7	27	Pereuil Mathieu
 1849	8	10	Faro Louis
 1849	8	18	Godard Benjamin
 1849	8	24	Gouard Arthur
 1849	11	17	Jacoutot Joseph
 1849	12	8	Lachaise Abraham
 1849	12	29	Bonnet Louis
 1850	2	5	Silvestre Charles
 1850	2	22	Bergin Eugene
 1850	3	9	Luigini Alexandre
 1850	4	9	Bleuset Eugene
 1850	5	17	Delrieux Pascal
 1850	5	27	Grillet Laurent
 1850	10	13	Binon Jacques
 1850	10	21	Fock Paul
 1850	11	28	Alary Jean
 1850	12	5	Derigny Joseph
 1850	12	27	Graffeuil Charles
 1850	12	31	Fridrich Gustave
 1851	1	19	Bernadou Marius
 1851	3	5	Sicard Joseph
 1851	3	27	Indy Paul
 1851	5	4	Broutin Clement
 1851	6	13	Samary Georges
 1851	6	28	Floquet Victor
 1851	8	16	Husson Morel Valeri
 1851	9	1	Hausser Jacques
 1851	9	24	Siegrist Georges
 1851	10	2	Blachere Charles
 1851	10	14	Bertram Edmond
 1851	11	1	Wormser Andre
 1851	11	5	Ratez Emile
 1851	11	23	Pothier Henri
 1851	12	18	Dubois Eugene
 1852	1	17	Bernard Hubert
 1852	1	26	Dorel Pierre
 1852	2	1	Auriaux Raphael
 1852	3	3	Hour Edouard
 1852	3	10	Boullard Louis
 1852	4	10	Lauga Francois
 1852	5	6	Gesus Jean
 1852	6	3	Bouvetier Baudile
 1852	6	18	Lefort Narcisse
 1852	6	23	Pugno Raoul
 1852	9	10	Rousselle Alphonse
 1852	9	23	Laboudet Alphonse
 1852	11	10	Laurens Edmond
 1852	11	25	Hillemacher Paul
 1852	12	4	Renaud Marie
 1853	2	15	Legros Louis
 1853	2	28	Klein Adolphe
 1853	3	8	Binon Ernest
 1853	3	16	Bruguier Francois
 1853	4	7	Caillebotte Martial
 1853	4	8	Brunet Edouard
 1853	6	11	Rousseau Samuel
 1853	6	29	Veronge De La Nux Paul
 1853	7	22	Roger Victor
 1853	7	27	Planes Casimir
 1853	10	13	Dusautoy Charles
 1853	11	5	Michel Louis
 1853	11	6	Fremaux Albert
 1853	12	30	Messager Andre
 1854	1	27	Lefebvre Armand
 1854	2	6	Rieffler Tony
 1854	2	19	Chabeaux Jean
 1854	3	11	Verschneider Georges
 1854	5	3	Gazier Eugene
 1854	5	6	Jaussaud Casimir
 1854	5	7	Baudet Eugene
 1854	5	11	Ehrhart Leon
 1854	5	17	Gillet Georges
 1854	5	23	Chaussier Henry
 1854	6	15	Jonquier Leonce
 1854	8	3	Fouant De La Tombelle Antoine
 1854	8	11	Gibier Adolphe
 1854	8	12	Delisle Charles
 1854	11	15	Debar Remi
 1854	12	10	Boussagol Emile
 1854	12	13	Lachanaud Jean
 1854	12	21	Baque Jean
 1855	1	18	Carles Fernand
 1855	1	20	Chausson Ernest
 1855	5	28	Rouveirolis Pierre
 1855	6	27	Mondou Xavier
 1855	7	20	Lemoine Leon
 1855	7	30	Cordelle Hippolyte
 1855	9	11	Cros Celestin
 1855	9	12	Brive Augustin
 1855	10	1	Schmidt Louis
 1856	1	16	Craiste Vanceslas
 1856	2	9	Deblauwe Ernest
 1856	2	18	Flandrin Gaston
 1856	3	20	Clerisse Emile
