# http://cura.free.fr/gauq/902gdE2e.html
# 11370 New Birth Data (PARIS 15). Series E, volume 2e
# Children born in the years 1923 to 1929 and 1933 to 1935 (Unpublished Data)
# Series E: Planetary Heredity. A Reappraisal on 50,000 subjects (Volume 2e)
# by Michel et Françoise GAUQUELIN
# [3rd CURA's edition, revised by Patrice Guinard : February 2009]
# 沒有醫院資料 , 地點都在巴黎

# Notice , 8224沒有NUM ,手動補上

# NUM : Number : from 1 to 11371 (n. 8870 doesn't exist)
# SEX : M = mother ; F = father ; D = daughter ; S = son
# 沒有 PL (出生地點) !
# DAY : Day of birth
# MON : Month of birth
# YEA : Year of birth
# H : Hour of birth ; Birthtime is converted to standard time, either for zone 0 (= GMT) or -1 (= CET)
# MN : Minutes
# SEC : Seconds
# Ci : Ci code (see the Introduction), sometimes missing
# TZ : Time Zone at the place of birth and date of birth (0 or -1)
# LAT : Latitude of Birth place
# LON : Longitude of Birth place
# COD : Abbreviated Code of Birth place indicating the French "Département"
# (The Birth place is not mentioned)

# 0    1   2   3   4  5  6   7   8   9       10      11  12
# NUM	SEX	DAY	MON	YEA	H	MN	SEC	Ci	TZ      LAT     LON	COD

235	D	22	07	1925	07	0	0	10	0	48N50	2E20	75
236	S	26	01	1927	14	30	0	11	0	48N50	2E20	75
237	F	28	02	1885	10	50	40	16	0	48N50	2E20	75
238	M	23	12	1894	21	20	40	06	0	48N50	2E20	75
239	S	02	07	1924	04	15	0	04	0	48N50	2E20	75
240	D	03	07	1927	03	0	0	01	0	48N50	2E20	75
241	D	02	11	1928	05	55	0	13	0	48N50	2E20	75
242	F	02	03	1885	21	50	40	08	0	48N50	2E20	75
243	M	18	11	1895	22	50	40	04	0	48N50	2E20	75
244	D	13	01	1925	02	0	0	10	0	48N50	2E20	75
245	F	06	03	1885	18	50	40	05	0	48N50	2E20	75
246	M	30	05	1889	20	50	40	05	0	48N50	2E20	75
247	S	23	10	1926	12	0	0	0	0	48N50	2E20	75
248	F	24	03	1885	21	50	40	01	0	48N50	2E20	75
249	M	08	04	1894	13	50	40	08	0	48N50	2E20	75
250	D	09	06	1925	03	30	0	01	0	48N50	2E20	75
251	F	12	05	1885	0	50	40	11	0	48N50	2E20	75
252	M	25	12	1892	17	50	40	08	0	48N50	2E20	75
253	D	01	09	1928	07	10	0	04	0	48N50	2E20	75
254	F	12	06	1885	09	50	40	07	0	48N50	2E20	75
255	M	09	10	1892	08	50	40	01	0	48N50	2E20	75
256	S	08	06	1923	03	15	0	01	0	48N50	2E20	75
257	F	06	08	1885	05	50	40	04	0	48N50	2E20	75
258	M	01	11	1884	18	50	40	10	0	48N50	2E20	75
259	D	23	09	1923	22	0	0	03	0	48N50	2E20	75
260	F	25	08	1885	08	06	20	01	0	47N13	1W35	44
261	M	25	01	1894	19	50	40	09	0	48N50	2E20	75
262	S	06	04	1934	15	40	0	11	0	48N50	2E20	75
263	F	20	09	1885	19	20	40	02	0	48N50	2E20	75
264	M	13	06	1893	06	50	40	01	0	48N50	2E20	75
265	S	19	07	1924	01	30	0	07	0	48N50	2E20	75
266	F	29	09	1885	22	50	40	04	0	48N50	2E20	75
267	M	17	07	1894	15	20	40	11	0	48N50	2E20	75
268	S	03	07	1923	03	30	0	02	0	48N50	2E20	75
269	F	02	11	1885	11	50	40	01	0	48N50	2E20	75
270	M	07	04	1893	20	20	40	08	0	48N50	2E20	75
271	D	25	02	1923	05	30	0	18	0	48N50	2E20	75
272	S	09	03	1925	10	15	0	15	0	48N50	2E20	75
273	F	16	11	1885	23	20	40	01	0	48N50	2E20	75
274	M	01	06	1891	21	50	40	02	0	48N50	2E20	75
275	D	13	04	1924	08	0	0	0	0	48N50	2E20	75
276	F	17	11	1885	22	50	40	0	0	48N50	2E20	75
277	M	15	03	1892	03	50	40	10	0	48N50	2E20	75
278	D	06	05	1923	10	0	0	02	0	48N50	2E20	75
279	F	21	11	1885	19	50	40	01	0	48N50	2E20	75
280	M	20	08	1893	22	50	40	09	0	48N50	2E20	75
281	S	14	10	1924	06	35	0	0	0	48N50	2E20	75
282	S	07	01	1927	22	15	0	19	0	48N50	2E20	75
283	D	16	11	1933	19	20	0	02	0	48N50	2E20	75
284	F	26	01	1886	09	50	40	02	0	48N50	2E20	75
285	M	31	03	1890	20	50	40	03	0	48N50	2E20	75
286	D	26	12	1926	06	15	0	03	0	48N50	2E20	75
287	F	13	03	1886	03	50	40	05	0	48N50	2E20	75
288	M	08	06	1896	03	50	40	08	0	48N50	2E20	75
289	S	03	06	1923	05	15	0	05	0	48N50	2E20	75
290	F	14	02	1886	06	50	40	0	0	48N50	2E20	75
291	M	16	06	1892	02	50	40	10	0	48N50	2E20	75
292	S	06	03	1924	06	30	0	09	0	48N50	2E20	75
293	F	20	03	1886	02	50	40	15	0	48N50	2E20	75
294	M	24	06	1892	08	50	40	09	0	48N50	2E20	75
295	D	13	04	1924	06	45	0	0	0	48N50	2E20	75
296	F	31	03	1886	22	50	40	20	0	48N50	2E20	75
297	M	02	03	1891	09	50	40	19	0	48N50	2E20	75
298	S	11	04	1923	03	0	0	08	0	48N50	2E20	75
299	F	15	04	1886	16	50	40	18	0	48N50	2E20	75
300	M	04	10	1901	0	50	40	04	0	48N50	2E20	75
301	D	19	09	1925	20	0	0	02	0	48N50	2E20	75
302	D	03	09	1927	23	25	0	14	0	48N50	2E20	75
