# http://cura.free.fr/gauq/902gdE2c.html
# 13109 New Birth Data (PARIS 14). Series E, volume 2c
# Children born in the years 1923, 1924 and 1929 in Port-Royal Maternity (Unpublished Data)
# Series E: Planetary Heredity. A Reappraisal on 50,000 subjects (Volume 2c)
# by Michel et Françoise GAUQUELIN
# [3rd CURA's edition, revised by Patrice Guinard : February 2009]
# Port-Royal Maternity 皇家港婦產醫院

# Notice #5822 出現 Feb/31 , 移除 , 原始檔案 #8224無NUM , 手動填上

# NUM : Number (from 1 to 13116)
# SEX : M = mother ; F = father ; D = daughter ; S = son
# 沒有 PL (出生地點) !
# DAY : Day of birth
# MON : Month of birth
# YEA : Year of birth
# H : Hour of birth ; Birthtime is converted to standard time, either for zone 0 (= GMT) or -1 (= CET)
# MN : Minutes
# SEC : Seconds
# Ci : Ci code (see the Introduction), sometimes missing
# TZ : Time Zone at the place of birth and date of birth (0 or -1)
# LAT : Latitude of Birth place
# LON : Longitude of Birth place
# COD : Abbreviated Code of Birth place indicating the French "Département"
# (The Birth place is not mentioned)

# 0    1   2   3   4  5  6   7   8   9       10      11  12
#NUM	SEX	DAY	MON	YEA	H	MN	SEC	Ci	TZ      LAT     LON	COD

261	S	02	02	1923	05	45	0	05	0	48N50	2E20	75
262	F	09	02	1880	06	40	40		0	45N46	4E50	69
263	M	08	11	1888	10	39	28	07	0	48N07	5E08	52
264	D	24	02	1924	07	55	0	08	0	48N50	2E20	75
265	F	11	02	1880	17	50	40		0	48N50	2E20	75
266	M	29	01	1889	16	43	40	02	0	48N18	4E05	10
267	S	01	02	1929	20	45	0	05	0	48N50	2E20	75
268	F	19	02	1880	07	03	0		0	48N04	0W45	53
269	M	07	09	1887	06	57	12	0	0	47N24	0E42	37
270	S	17	04	1923	14	40	0	01	0	48N50	2E20	75
271	F	20	02	1880	15	50	40		0	48N50	2E20	75
272	M	25	09	1886	09	50	40	01	0	48N50	2E20	75
273	D	04	10	1923	22	15	0	0	0	48N50	2E20	75
274	F	28	03	1880	22	52	56		0	45N16	1E46	19
275	M	03	09	1876	03	52	32		0	46N17	1E52	23
276	D	03	07	1923	03	0	0	02	0	48N50	2E20	75
277	F	01	05	1880	0	16	24		0	48N 0	4W06	29
278	M	13	11	1886	10	16	24	09	0	48N 0	4W06	29
279	D	29	08	1923	18	55	0	0	0	48N50	2E20	75
280	F	02	06	1880	13	42	36		0	43N51	4E21	30
281	M	20	10	1894	23	50	40	04	0	47N28	0W32	49
282	S	24	11	1923	23	40	0	01	0	48N50	2E20	75
283	F	12	06	1880	10	35	52		0	47N15	6E02	25
284	M	04	06	1886	04	35	52	10	0	47N15	6E02	25
