# YEA	MON	DAY	NAME

 1854	1	20	Bastien-Lepage Emile
 1854	2	2	Binet Adolphe
 1854	2	4	Courtens Franz
 1854	3	25	Biessy Marie
 1854	3	29	Lopisgich Antoine
 1854	4	10	Lambert Albert
 1854	4	19	Angrand Charles
 1854	6	5	Paul Louis
 1854	6	29	Berthault Lucien
 1854	7	30	Smith Alfred
 1854	9	30	Ravanne Leon
 1854	10	14	Tenre Charles
 1854	10	21	Ochtman Leonard
 1854	10	22	Latouche Gaston
 1854	12	3	Vinci Pietro
 1855	1	5	Jeannot Joseph
 1855	1	25	Mesle Joseph
 1855	2	27	Ballue Pierre
 1855	2	27	Magne Desire
 1855	3	6	Saubes Leon
 1855	5	12	Lamy Pierre
 1855	7	7	Vignal Pierre
 1855	10	31	Chocarne-Moreau Ch
 1855	12	8	Volz Wilhelm
 1855	12	12	Jansen Hendrik
 1855	12	17	Rame Jules
 1856	1	28	Diffloth Emile
 1856	2	10	Chattel Fred
 1856	2	26	Vallet Louis
 1856	4	1	Maurin Charles
 1856	4	25	Marais Adolphe
 1856	5	20	Cross Henry
 1856	8	22	Eschwege Emar
 1856	10	6	Penchaud Gaston
 1856	11	7	Masse Jean
 1856	11	23	Weiland Johannes
 1856	11	27	Girardot Louis
 1857	1	21	Prevot-Valeri Auguste
 1857	1	25	Voerman Jan
 1857	2	2	Rondel Henri
 1857	2	11	Bompard Maurice
 1857	3	17	Zillhardt Jenny
 1857	4	5	Barbier Ernest
 1857	5	12	Thornley William
 1857	5	19	Sinibaldi Jean
 1857	7	30	Willette Adolphe
 1857	8	12	Druet Antoine
 1857	9	1	Brouillet Pierre
 1857	11	5	Tollet Tony
 1857	11	15	Vanderpoel John
 1858	2	18	Balouzet Armand
 1858	2	27	Cate Siebe
 1858	4	16	Acker Florimond
 1858	4	16	Bastet Tancrede
 1858	5	9	Jomouton Frederic
 1858	5	29	La Villeon Emmanuel
 1858	8	13	Prouve Victor
 1858	8	14	Dieffenbacher August
 1858	11	25	Job Jacques
 1859	2	23	Chartier Henri
 1859	3	24	Alleaume Ludovic
 1859	5	8	Barbier Antoine
 1859	5	21	Luyten Jean
 1859	6	25	Dyonnet Edmund
 1859	7	30	Popelin Gustave
 1859	8	2	Rochegrosse Georges
 1859	9	7	Gervais Paul
 1859	9	8	Viala Eugene
 1859	10	26	Santoro Rubens
 1859	12	2	Seurat Georges
 1859	12	15	Tito Ettore
 1859	12	17	Helleu Paul
 1859	12	24	Son Johannes
 1860	1	5	Chudant Jean
 1860	1	8	Guiguet Francois
 1860	1	17	Umbricht Honore
 1860	1	19	Saint-Germier Joseph
 1860	2	16	Gausson Leo
 1860	4	7	Duhem Henri
 1860	4	13	Ensor James
 1860	5	9	Caron Henri
 1860	5	31	Crochepierre Andre
 1860	7	29	Schutzenberger Paul
 1860	8	5	Martin Henri
