# 新版 http://cura.free.fr/gauq/902gdA6.html
# 舊版 http://cura.free.fr/gauq/11gdA6.txt
# Writer 作家 , 1352位

# 有 name , list size = 1285
# 無 name , list size =   67

# PRO	NUM	COU	DAY	MON	YEA	H	MN	SEC	TZ	LAT	LON	COD	CITY	

W	216	F	21	4	1919	3	25	0	0	47N13	1W35	44	CHATEAUBRIANT
W	217	F	28	8	1801	12	35	24	0	47N37	6E 9	70	GRAY
W	218	F	25	6	1858	5	57	12	0	47N24	0E42	37	TOURS
W	219	F	10	8	1900	4	50	40	0	48N50	2E20	75	PARIS
W	220	F	22	1	1876	15	42	40	0	50N50	4E20	B	STJOSSE TEN NOO
W	221	F	1	10	1842	7	50	36	0	43N12	2E21	11	FABREZAN
W	222	F	10	6	1854	17	35	16	0	49N 7	6E11	57	METZ
W	223	F	22	5	1917	21	30	0	0	43N18	0W22	64	ORTHEZ
W	224	F	21	9	1898	20	50	40	0	49N54	2E18	80	MERS LES BAINS
W	225!	F	20	8	1913	1	0	0	-1	48N35	7E45	67	STRASBOURG
W	226	F	24	5	1922	15	0	0	0	48N47	2E29	94	IVRY/SEINE
W	227	F	19	1	1901	17	50	40	0	48N10	6E28	88	EPINAL
W	228	F	1	8	1804	4	58	40	0	46N35	0E20	86	POITIERS
W	229	F	13	1	1913	17	0	0	0	44N12	0E38	47	TONNEINS
W	230	F	13	5	1840	1	42	36	0	43N51	4E21	30	NIMES
W	231	F	31	5	1837	16	42	36	0	43N51	4E21	30	NIMES
W	232!	F	16	11	1867	22	50	40	0	48N50	2E20	75	PARIS
W	233	F	16	3	1908	17	50	40	0	49N46	4E44	08	BOULZICOURT
W	234	F	30	9	1876	12	35	12	0	48N42	6E12	54	NANCY
W	235	F	3	12	1905	15	50	40	0	44N27	1E26	46	CATUS
W	236	F	31	12	1883	8	30	16	0	49N 1	1E11	27	BERNAY
W	237	F	22	8	1902	21	20	40	0	48N27	1E30	28	MARSAUCEUX
W	238	F	26	5	1885	6	50	40	0	48N50	2E20	75	PARIS
W	239	F	3	11	1874	18	31	28	0	49N11	0W22	14	HONFLEUR
W	240	F	14	11	1907	13	50	40	0	43N18	0W22	64	BAYONNE
