# CHRONOLOGICAL ORDER (按照出生日期排列) 
# YEA	MON	DAY	NAME

#此無資料
 1902	5	22	Ramadier Pierre
 1902	5	24	Devos Rene
 1902	5	29	Guillaumet Henri
 1902	6	12	De Angeli Piero
 1902	6	14	Ribere Eugene
 1902	6	22	Deglane Henri
 1902	7	6	Geraud Louis
 1902	7	12	Vandernotte Fernand
 1902	7	21	Wambst Georges
 1902	8	11	Binda Alfredo
 1902	8	25	Bernard Alain
 1902	9	10	Algarotti Guglielmo
 1902	10	14	Guerra Learco
 1902	11	5	Pacome Charles
 1902	11	8	Serin Lucien
 1902	12	20	Combi Giampiero
 1902	12	22	Bonzi Leonardo
 1902	12	27	Agello Francesco
 1903	1	11	Piemontesi Domenico
 1903	1	16	Bagneux-Faudoas Francois
 1903	1	19	Barbier Simone
 1903	1	27	Noel Jules
 1903	2	9	Cortese Franco
 1903	3	20	Charles Pierre
 1903	3	27	Gardier Frans
 1903	4	27	Rouland Edouard
 1903	5	3	Adams Fernand
 1903	6	9	Bonetto Felice
 1903	6	12	Depauw Mauritz
 1903	7	30	Viazzo Giovanni
 1903	9	1	Delbecque Julien
 1903	9	22	Poilve Emile
 1903	10	2	Mara Michele
 1903	10	10	Le Drogo Ferdinand
 1903	11	2	Hassler Albert
 1903	11	3	Rigoulot Charles
 1903	11	12	Lefevre Rene
 1903	11	17	Michard Lucien
 1903	11	27	Moineau Julien
 1903	12	21	Bourin Jean
 1903	12	23	Blanchonnet Armand
 1903	12	29	Folz Amedeo
 1904	1	22	Graule Vincent
 1904	2	8	Timmer Hendrik
 1904	2	10	Boucheron Onesime
 1904	2	12	Paillard Georges
 1904	2	15	Magne Antonin
 1904	2	27	Leducq Andre
 1904	3	1	Brassart Yvonne
 1904	3	5	Decroix Emiel
 1904	3	13	Murtin Jacques
 1904	3	17	Gerald Geo
 1904	3	18	Comet Paul
 1904	3	21	Schmetz Bernard
 1904	3	30	Scalpinelli Leguigna Pietro
 1904	4	7	Bardot Charles
 1904	4	12	Baraton Georges
 1904	4	22	Joly Emiel
 1904	5	10	Solbach Armand
 1904	5	29	Thil Marcel
 1904	7	2	Lacoste Rene
 1904	7	10	Henrotin Sylvia
 1904	8	1	Rovida Carlo
 1904	8	8	Varzi Achille
 1904	8	11	Manoir Yves
 1904	9	13	Cecconi Fausto
 1904	10	12	Bailette Marcel
 1904	11	10	Bonin Marcel
 1904	11	10	Raynaud Andre
 1904	11	25	Cirillo Giuseppe
 1904	12	19	Busnel Amador
 1905	1	15	Loncke Gerard
 1905	1	29	Rebry Gaston
 1905	2	5	Raffaeli Aime
 1905	2	9	Camel Andre
 1905	2	21	Fleurquin Pierre
 1905	2	27	Dolques Lucien
 1905	3	20	Galia Jean
 1905	3	25	Deconninck Henri
 1905	3	30	Dugoni Bruno
 1905	4	1	Deneef Roger
 1905	4	30	Lemaire Georges
 1905	5	1	Duhour Edouard
 1905	5	21	Rudler Antoine
 1905	7	12	Mourguiart Henri
 1905	8	6	Magescas Armand
 1905	8	15	Pavillard Henri
 1905	8	27	Bisseron Roger
 1905	8	29	Faure-Beaulieu Suzanne
 1905	9	2	Galey Marcel
 1905	9	26	Assollant Jean
 1905	9	27	Hamerlinck Alfred
 1905	11	5	Rosier Louis
 1905	11	13	Baril Marcel
 1905	11	22	Geldfors Maurits
 1905	11	26	Bianchi Mario
 1905	12	17	Auvergne Gilbert
 1905	12	18	Saleza Jose
 1905	12	19	Lurani Cernuschi Giovanni
 1905	12	24	Mattler Eugene
 1905	12	27	Brivio Antonio
 1905	12	31	Cler Louis
 1906	1	1	Berdardini Fulvio
